timestamp,power_kw,wind_speed_ms,wind_direction_deg,irradiance_wm2,voltage,current_a
2026-09-20T15:00:00Z,0,8.00,240,0.00,380,0.00
2026-09-20T15:10:00Z,0,8.17,240,0.00,380,0.00
2026-09-20T15:20:00Z,0,8.33,240,0.00,380,0.00
2026-09-20T15:30:00Z,0,8.49,240,0.00,380,0.00
2026-09-20T15:40:00Z,0,8.65,240,0.00,380,0.00
2026-09-20T15:50:00Z,0,8.81,240,0.00,380,0.00
2026-09-20T16:00:00Z,0,8.96,240,0.00,380,0.00
2026-09-20T16:10:00Z,0,9.10,240,0.00,380,0.00
2026-09-20T16:20:00Z,0,9.24,240,0.00,380,0.00
2026-09-20T16:30:00Z,0,9.36,240,0.00,380,0.00
2026-09-20T16:40:00Z,0,9.48,240,0.00,380,0.00
2026-09-20T16:50:00Z,0,9.59,240,0.00,380,0.00
2026-09-20T17:00:00Z,0,9.68,240,0.00,380,0.00
2026-09-20T17:10:00Z,0,9.77,240,0.00,380,0.00
2026-09-20T17:20:00Z,0,9.84,240,0.00,380,0.00
2026-09-20T17:30:00Z,0,9.90,240,0.00,380,0.00
2026-09-20T17:40:00Z,0,9.94,240,0.00,380,0.00
2026-09-20T17:50:00Z,0,9.98,240,0.00,380,0.00
2026-09-20T18:00:00Z,0,9.99,240,0.00,380,0.00
2026-09-20T18:10:00Z,0,10.00,240,0.00,380,0.00
2026-09-20T18:20:00Z,0,9.99,240,0.00,380,0.00
2026-09-20T18:30:00Z,0,9.97,240,0.00,380,0.00
2026-09-20T18:40:00Z,0,9.93,240,0.00,380,0.00
2026-09-20T18:50:00Z,0,9.88,240,0.00,380,0.00
2026-09-20T19:00:00Z,0,9.82,240,0.00,380,0.00
2026-09-20T19:10:00Z,0,9.74,240,0.00,380,0.00
2026-09-20T19:20:00Z,0,9.66,240,0.00,380,0.00
2026-09-20T19:30:00Z,0,9.56,240,0.00,380,0.00
2026-09-20T19:40:00Z,0,9.45,240,0.00,380,0.00
2026-09-20T19:50:00Z,0,9.33,240,0.00,380,0.00
2026-09-20T20:00:00Z,0,9.20,240,0.00,380,0.00
2026-09-20T20:10:00Z,0,9.06,240,0.00,380,0.00
2026-09-20T20:20:00Z,0,8.91,240,0.00,380,0.00
2026-09-20T20:30:00Z,0,8.76,240,0.00,380,0.00
2026-09-20T20:40:00Z,0,8.61,240,0.00,380,0.00
2026-09-20T20:50:00Z,0,8.45,240,0.00,380,0.00
